"service","A_avg_desired","B_avg_desired","delta_avg_desired","A_avg_ready","B_avg_ready","delta_avg_ready","A_max_desired","B_max_desired","delta_max_desired"
"adservice","3.813","1.54","2.273","3.722","1.49","2.232","4","3","1"
"cartservice","1.965","3.455","-1.49","1.944","2.727","-0.783","2","10","-8"
"checkoutservice","1","2.485","-1.485","1","2.455","-1.455","1","4","-3"
"currencyservice","2.929","9.091","-6.162","2.899","8.985","-6.086","3","10","-7"
"emailservice","1.965","1.586","0.379","1.944","1.207","0.737","2","4","-2"
"frontend","4.97","9.682","-4.712","4.909","9.596","-4.687","6","10","-4"
"paymentservice","1.96","0.995","0.965","1.949","1","0.949","2","1","1"
"productcatalogservice","1.96","7.157","-5.197","1.955","7.051","-5.096","2","10","-8"
"recommendationservice","3.798","3.04","0.758","3.768","2.056","1.712","4","5","-1"
"shippingservice","1","1.409","-0.409","1","1.389","-0.389","1","3","-2"
